2026-03-02 22:18:31 | code: CUPON01 | pack_price: 5
2026-03-02 22:21:44 | code: CUPON01 | pack_price: 5
2026-03-02 22:23:57 | code: CUPON01 | pack_price: 5
2026-03-02 22:24:13 | code: CUPON01 | pack_price: 5
2026-03-02 22:25:43 | code: CUPON01 | pack_price: 5
2026-03-02 22:27:19 | code: CUPON01 | pack_price: 5495
2026-03-02 22:33:33 | code: CUPON01 | pack_price: 5495
2026-03-02 22:48:49 | code: CUPON01 | pack_price: 5495
2026-03-02 22:49:28 | code: CUPON01 | pack_price: 5495
2026-03-02 22:54:21 | code: CUPON01 | pack_price: 5495
2026-03-02 22:56:46 | code: CUPON01 | pack_price: 5495
2026-03-02 23:00:04 | code: CUPON01 | pack_price: 5495
2026-03-02 23:03:33 | code: CUPON01 | pack_price: 5495
2026-03-02 23:06:32 | code: CUPON01 | pack_price: 5495
2026-03-02 23:09:26 | code: CUPON01 | pack_price: 5495
2026-03-02 23:11:32 | code: CUPON01 | pack_price: 5495
2026-03-02 23:13:09 | code: CUPON01 | pack_price: 5495
2026-03-02 23:15:16 | code: CUPON01 | pack_price: 5495
2026-03-02 23:17:15 | code: CUPON01 | pack_price: 5495
2026-03-02 23:20:23 | code: CUPON01 | pack_price: 5495
2026-03-02 23:22:44 | code: CUPON01 | pack_price: 5495
2026-03-02 23:26:36 | code: CUPON01 | pack_price: 5495
2026-03-02 23:27:58 | code: CUPON01 | pack_price: 5495
2026-03-02 23:37:24 | code: CUPON01 | pack_price: 7995
2026-03-02 23:47:57 | code: CUPON01 | pack_price: 10495
2026-03-02 23:53:07 | code: CUPON01 | pack_price: 7
2026-03-02 23:55:32 | code: CUPON01 | pack_price: 5
2026-03-03 00:27:10 | code: CUPON01 | pack_price: 5
2026-03-03 14:40:16 | code: CUPON01 | pack_price: 5
2026-03-03 14:40:16 | code: CUPON01 | pack_price: 5
2026-03-03 15:01:49 | code: CUPON01 | pack_price: 10.99
2026-03-03 15:26:56 | code: CUPON01 | pack_price: 15.99
2026-03-03 15:27:30 | code: CUPON01 | pack_price: 15.99
2026-03-03 15:27:52 | code: CUPON01 | pack_price: 15.99
2026-03-03 15:30:20 | code: CUPON01 | pack_price: 15.99
2026-03-03 15:37:06 | code: CUPON01 | pack_price: 15.99
2026-03-03 15:37:49 | code: CUPON01 | pack_price: 15.99
2026-03-03 15:40:17 | code: CUPON01 | pack_price: 15.99
2026-03-03 18:17:27 | code: CUPON01 | pack_price: 15.99
2026-03-03 18:18:07 | code: CUPON01 | pack_price: 10.99
2026-03-03 18:21:52 | code: CUPON01 | pack_price: 10.99
2026-03-03 18:24:42 | code: CUPON01 | pack_price: 10.99
2026-03-03 18:24:42 | ERROR: Cupón agotado.
2026-03-05 22:45:26 | code: cupon01 | pack_price: 10.99
2026-03-09 20:55:15 | code: CUPONEEOS | pack_price: 2500
2026-03-09 20:55:15 | ERROR: Cupón inexistente.
2026-03-09 20:55:26 | code: CUPON01 | pack_price: 2500
2026-03-09 21:25:30 | code: CUPON01 | pack_price: 20
2026-03-09 22:50:51 | code: CUPON01 | pack_price: 14
2026-03-09 23:16:40 | code: CUPON01 | pack_price: 20
2026-03-09 23:25:35 | code: CUPON01 | pack_price: 14
2026-03-09 23:25:57 | code: CUPON01 | pack_price: 14
